"Marca temporal","Que mazos vas a jugar en OP11?","Ahora escoge solo uno!"
"2025/06/05 11:38:31 a. m. CET","Luffy UP",""
"2025/06/05 11:39:24 a. m. CET","Katakuri P",""
"2025/06/05 11:40:20 a. m. CET","Nami BY;Enel;Yamato GY",""
"2025/06/05 11:41:12 a. m. CET","Luffy BP;Yamato GY",""
"2025/06/05 11:41:55 a. m. CET","Arlong",""
"2025/06/05 11:42:20 a. m. CET","BlackBeard;Koby;Oden RG",""
"2025/06/05 11:43:02 a. m. CET","Arlong",""
"2025/06/05 11:43:21 a. m. CET","Arlong",""
"2025/06/05 11:45:14 a. m. CET","Arlong",""
"2025/06/05 11:46:15 a. m. CET","Arlong",""
"2025/06/05 11:46:25 a. m. CET","Lucci",""
"2025/06/05 11:46:59 a. m. CET","Luffy GP;Luffy BP",""
"2025/06/05 11:47:54 a. m. CET","Luffy UP;BlackBeard;Buggy",""
"2025/06/05 11:49:12 a. m. CET","Luffy UP;Luffy BP;Buggy",""
"2025/06/05 11:51:20 a. m. CET","Luffy UP;Luffy BP;Yamato GY",""
"2025/06/05 11:52:40 a. m. CET","Lucci;Bonney;Buggy;Nami BY;Foxy;Boa",""
"2025/06/05 11:54:38 a. m. CET","Pluffy;Smoker RG;Katakuri P;Reiju;Arlong;Hody;Jinbei;Foxy;Carrot",""
"2025/06/05 11:54:57 a. m. CET","Belo Betty;Nami BY;Usopp;Robin PY",""
"2025/06/05 11:57:31 a. m. CET","Belo Betty;Shanks;Enel",""
"2025/06/05 11:59:54 a. m. CET","Arlong",""
"2025/06/05 12:18:56 p. m. CET","Luffy UP;Luffy BP;Reiju;Enel;Pudding","Luffy UP"
"2025/06/05 12:19:30 p. m. CET","Buggy;Law GY;Koby","Law GY"
"2025/06/05 12:20:08 p. m. CET","Lucci","Lucci"
"2025/06/05 12:29:22 p. m. CET","Reiju","Reiju"
"2025/06/05 12:31:47 p. m. CET","Nami BY;Katakuri P;Reiju;Nami B","Nami BY"
"2025/06/05 12:32:56 p. m. CET","Luffy UP;Luffy GP;Buggy;Nami BY;Usopp;Garp RB","Luffy UP"
"2025/06/05 12:45:24 p. m. CET","Luffy UP;Buggy","Belo Betty"
"2025/06/05 2:41:32 p. m. CET","Luffy UP;Belo Betty;Buggy;Law GY","Luffy UP"
"2025/06/05 2:43:59 p. m. CET","BlackBeard;Luffy BP;Buggy","Luffy BP"
"2025/06/05 2:44:46 p. m. CET","Arlong;Caesar;Hannyabal ","Arlong"
"2025/06/05 2:54:35 p. m. CET","Bonney;Luffy RP",""
"2025/06/05 3:01:59 p. m. CET","Zooro","Zooro"
"2025/06/05 3:04:01 p. m. CET","Luffy GP;Buggy;Nami BY;Kid Y","Buggy"
"2025/06/05 3:06:32 p. m. CET","Lucci","Lucci"
"2025/06/05 3:27:29 p. m. CET","Luffy UP;Pluffy;Buggy;Lim","Luffy UP"
"2025/06/05 3:37:01 p. m. CET","Luffy UP;Luffy GP;Pluffy;Lucci;Luffy BP;Buggy;Smoker RG;Law GY;Arlong;luffy st14","Buggy"
"2025/06/05 3:38:46 p. m. CET","Luffy GP;Luffy BP","Shirahoshi"
"2025/06/05 3:39:26 p. m. CET","Luffy GP;Pluffy;Zooro;Lucci;BlackBeard;Bonney;Luffy BP;Buggy;Nami BY;Law GY;Luffy RP;Shanks;Marco;Usopp;Katakuri Y;Lim;Pudding;Vegapunk;Yamato GY","Nami BY"
"2025/06/05 3:40:01 p. m. CET","Luffy GP;Pluffy","Luffy GP"
"2025/06/05 4:07:37 p. m. CET","Pluffy;Enel","Enel"
"2025/06/05 4:08:43 p. m. CET","Luffy UP;Bonney;Vegapunk","Luffy UP"
"2025/06/05 4:32:37 p. m. CET","BlackBeard;Buggy","Buggy"
"2025/06/05 4:36:38 p. m. CET","Luffy BP;Luffy RP;Sanji PRB","Luffy RP"
"2025/06/05 5:05:58 p. m. CET","Katakuri Y;Sugar RP;Rosinante","Katakuri Y"
"2025/06/05 5:15:52 p. m. CET","Luffy UP;BlackBeard;Hody","BlackBeard"
"2025/06/05 5:15:57 p. m. CET","Nami BY;Katakuri P","Nami BY"
